orden,nombre_region,cod_region,nom_provincia,cod_provincia,nom_comuna,cod_comuna,edad,hombres,mujeres,total
3916,MAULE,7,CAUQUENES,72,CAUQUENES,7201,Total Comunal,"19,314","21,127","40,441"
3917,MAULE,7,CAUQUENES,72,CAUQUENES,7201,0 a 4,"1,294","1,244","2,538"
3918,MAULE,7,CAUQUENES,72,CAUQUENES,7201,5 a 9,"1,331","1,349","2,680"
3919,MAULE,7,CAUQUENES,72,CAUQUENES,7201,10 a 14,"1,393","1,386","2,779"
3920,MAULE,7,CAUQUENES,72,CAUQUENES,7201,15 a 19,"1,297","1,294","2,591"
3921,MAULE,7,CAUQUENES,72,CAUQUENES,7201,20 a 24,"1,064","1,207","2,271"
3922,MAULE,7,CAUQUENES,72,CAUQUENES,7201,25 a 29,"1,264","1,420","2,684"
3923,MAULE,7,CAUQUENES,72,CAUQUENES,7201,30 a 34,"1,106","1,231","2,337"
3924,MAULE,7,CAUQUENES,72,CAUQUENES,7201,35 a 39,"1,209","1,377","2,586"
3925,MAULE,7,CAUQUENES,72,CAUQUENES,7201,40 a 44,"1,299","1,363","2,662"
3926,MAULE,7,CAUQUENES,72,CAUQUENES,7201,45 a 49,"1,327","1,438","2,765"
3927,MAULE,7,CAUQUENES,72,CAUQUENES,7201,50 a 54,"1,464","1,477","2,941"
3928,MAULE,7,CAUQUENES,72,CAUQUENES,7201,55 a 59,"1,274","1,418","2,692"
3929,MAULE,7,CAUQUENES,72,CAUQUENES,7201,60 a 64,"1,106","1,173","2,279"
3930,MAULE,7,CAUQUENES,72,CAUQUENES,7201,65 a 69,820,"1,006","1,826"
3931,MAULE,7,CAUQUENES,72,CAUQUENES,7201,70 a 74,727,901,"1,628"
3932,MAULE,7,CAUQUENES,72,CAUQUENES,7201,75 a 79,604,705,"1,309"
3933,MAULE,7,CAUQUENES,72,CAUQUENES,7201,80 a 84,382,526,908
3934,MAULE,7,CAUQUENES,72,CAUQUENES,7201,85 a 89,227,370,597
3935,MAULE,7,CAUQUENES,72,CAUQUENES,7201,90 a 94,98,168,266
3936,MAULE,7,CAUQUENES,72,CAUQUENES,7201,95 a 99,24,58,82
3937,MAULE,7,CAUQUENES,72,CAUQUENES,7201,100 o más,4,16,20
3938,MAULE,7,CAUQUENES,72,CHANCO,7202,Total Comunal,"4,450","4,478","8,928"
3939,MAULE,7,CAUQUENES,72,CHANCO,7202,0 a 4,270,300,570
3940,MAULE,7,CAUQUENES,72,CHANCO,7202,5 a 9,281,273,554
3941,MAULE,7,CAUQUENES,72,CHANCO,7202,10 a 14,320,299,619
3942,MAULE,7,CAUQUENES,72,CHANCO,7202,15 a 19,254,268,522
3943,MAULE,7,CAUQUENES,72,CHANCO,7202,20 a 24,224,233,457
3944,MAULE,7,CAUQUENES,72,CHANCO,7202,25 a 29,277,315,592
3945,MAULE,7,CAUQUENES,72,CHANCO,7202,30 a 34,268,285,553
3946,MAULE,7,CAUQUENES,72,CHANCO,7202,35 a 39,271,280,551
3947,MAULE,7,CAUQUENES,72,CHANCO,7202,40 a 44,279,307,586
3948,MAULE,7,CAUQUENES,72,CHANCO,7202,45 a 49,346,311,657
3949,MAULE,7,CAUQUENES,72,CHANCO,7202,50 a 54,360,339,699
3950,MAULE,7,CAUQUENES,72,CHANCO,7202,55 a 59,356,312,668
3951,MAULE,7,CAUQUENES,72,CHANCO,7202,60 a 64,278,228,506
3952,MAULE,7,CAUQUENES,72,CHANCO,7202,65 a 69,197,202,399
3953,MAULE,7,CAUQUENES,72,CHANCO,7202,70 a 74,180,172,352
3954,MAULE,7,CAUQUENES,72,CHANCO,7202,75 a 79,128,144,272
3955,MAULE,7,CAUQUENES,72,CHANCO,7202,80 a 84,93,105,198
3956,MAULE,7,CAUQUENES,72,CHANCO,7202,85 a 89,54,68,122
3957,MAULE,7,CAUQUENES,72,CHANCO,7202,90 a 94,9,26,35
3958,MAULE,7,CAUQUENES,72,CHANCO,7202,95 a 99,2,8,10
3959,MAULE,7,CAUQUENES,72,CHANCO,7202,100 o más,3,3,6
3960,MAULE,7,CAUQUENES,72,PELLUHUE,7203,Total Comunal,"3,765","3,806","7,571"
3961,MAULE,7,CAUQUENES,72,PELLUHUE,7203,0 a 4,238,262,500
3962,MAULE,7,CAUQUENES,72,PELLUHUE,7203,5 a 9,259,240,499
3963,MAULE,7,CAUQUENES,72,PELLUHUE,7203,10 a 14,252,263,515
3964,MAULE,7,CAUQUENES,72,PELLUHUE,7203,15 a 19,208,174,382
3965,MAULE,7,CAUQUENES,72,PELLUHUE,7203,20 a 24,176,221,397
3966,MAULE,7,CAUQUENES,72,PELLUHUE,7203,25 a 29,254,285,539
3967,MAULE,7,CAUQUENES,72,PELLUHUE,7203,30 a 34,251,280,531
3968,MAULE,7,CAUQUENES,72,PELLUHUE,7203,35 a 39,268,238,506
3969,MAULE,7,CAUQUENES,72,PELLUHUE,7203,40 a 44,250,229,479
3970,MAULE,7,CAUQUENES,72,PELLUHUE,7203,45 a 49,256,258,514
3971,MAULE,7,CAUQUENES,72,PELLUHUE,7203,50 a 54,256,268,524
3972,MAULE,7,CAUQUENES,72,PELLUHUE,7203,55 a 59,249,224,473
