COMUNA,RANGO_EDAD,rango_edad3,n,vote,participacion2017,n2020,vote2020_proy2017,participacion2020_proy2017
Cauquenes,18 a 19,1,1263,376,0.29770388,1189,354,0.297729184
Cauquenes,20-24,1,3509,985,0.280706754,3129,878,0.280600831
Cauquenes,25-29,1,3578,1057,0.295416434,3426,1012,0.295388208
Cauquenes,30-34,1,2942,968,0.329027872,3307,1088,0.328999093
Cauquenes,35-39,2,2982,1217,0.408115359,2871,1172,0.408220132
Cauquenes,40-44,2,3160,1418,0.448734177,3004,1348,0.44873502
Cauquenes,45-49,2,3315,1630,0.491704374,3080,1514,0.491558442
Cauquenes,50-54,2,3418,1946,0.569338795,3403,1937,0.569203644
Cauquenes,55-59,2,2923,1823,0.623674307,3118,1945,0.623797306
Cauquenes,60-64,2,2536,1674,0.660094637,2817,1859,0.659921903
Cauquenes,65-69,3,2022,1378,0.681503462,2187,1490,0.681298583
Cauquenes,70-74,3,1762,1156,0.656072645,1868,1226,0.656316916
Cauquenes,75-79,3,1455,858,0.589690722,1490,879,0.589932886
Cauquenes,80 o +,3,2471,730,0.295426953,2727,806,0.29556289
Chanco,18 a 19,1,298,80,0.268456376,246,66,0.268292683
Chanco,20-24,1,772,202,0.261658031,771,202,0.261997406
Chanco,25-29,1,873,267,0.305841924,790,242,0.306329114
Chanco,30-34,1,746,278,0.372654155,815,304,0.373006135
Chanco,35-39,2,838,336,0.400954654,753,302,0.401062417
Chanco,40-44,2,745,353,0.473825503,783,371,0.473818646
Chanco,45-49,2,889,477,0.53655793,773,415,0.53686934
Chanco,50-54,2,875,534,0.610285714,905,552,0.609944751
Chanco,55-59,2,781,506,0.647887324,821,532,0.647990256
Chanco,60-64,2,622,431,0.692926045,697,483,0.692969871
Chanco,65-69,3,465,328,0.705376344,532,375,0.704887218
Chanco,70-74,3,435,299,0.687356322,431,296,0.686774942
Chanco,75-79,3,318,177,0.556603774,367,204,0.555858311
Chanco,80 o +,3,536,193,0.360074627,566,204,0.360424028
Colbun,18 a 19,1,541,182,0.336414048,557,187,0.33572711
Colbun,20-24,1,1583,577,0.364497789,1465,534,0.364505119
Colbun,25-29,1,1706,655,0.383939039,1718,660,0.384167637
Colbun,30-34,1,1477,593,0.401489506,1714,688,0.401400233
Colbun,35-39,2,1431,658,0.459818309,1528,703,0.460078534
Colbun,40-44,2,1459,731,0.501028101,1405,704,0.501067616
Colbun,45-49,2,1610,868,0.539130435,1601,863,0.539038101
Colbun,50-54,2,1627,930,0.571604179,1636,935,0.571515892
Colbun,55-59,2,1484,915,0.616576819,1615,996,0.616718266
Colbun,60-64,2,1210,811,0.670247934,1359,911,0.670345843
Colbun,65-69,3,991,674,0.68012109,1093,743,0.679780421
Colbun,70-74,3,738,500,0.677506775,875,593,0.677714286
Colbun,75-79,3,525,309,0.588571429,619,364,0.588045234
Colbun,80 o +,3,633,223,0.352290679,747,263,0.352074967
Linares,18 a 19,1,3092,1082,0.349935317,2707,947,0.349833764
Linares,20-24,1,8037,2544,0.316536021,7492,2371,0.316470902
Linares,25-29,1,8487,2913,0.343230824,8047,2762,0.343233503
Linares,30-34,1,7001,2376,0.339380089,7821,2654,0.339342795
Linares,35-39,2,7056,2599,0.368339002,6936,2555,0.368367935
Linares,40-44,2,6639,2909,0.438168399,6568,2878,0.43818514
Linares,45-49,2,6981,3299,0.4725684,6725,3178,0.472565056
Linares,50-54,2,7637,4040,0.529003535,7395,3912,0.529006085
Linares,55-59,2,6484,3696,0.570018507,7134,4067,0.570086908
Linares,60-64,2,5296,3229,0.609705438,5847,3565,0.609714383
Linares,65-69,3,4218,2675,0.634186818,4702,2982,0.634198214
