"","COMUNA","p2020","EfectoCOVID","EfectoPlebiscito"
"1","Cauquenes","0.35","-0.944639359235365","0.845538729116693"
"2","Chanco","0.3","-0.960607043335081","0.83411242010543"
"3","Colbun","0.39","-0.980974630260272","0.88915984940526"
"4","Linares","0.44","-0.982124524729881","0.939991652132497"
"5","Longavi","0.3","-1.01740164577177","0.879571073889135"
"6","Parral","0.39","-0.963232155780575","0.877748305590813"
"7","Pelluhue","0.4","-0.939827324672032","0.791887219889523"
"8","Retiro","0.3","-0.976956681562269","0.80873530466323"
"9","San Javier","0.4","-0.976874970569022","0.906390538724146"
"10","Villa Alegre","0.4","-0.950315770168317","0.795492715745756"
"11","Yerbas Buenas","0.39","-0.982317972322379","0.855991147166623"
