COMUNA,Pacto,Partido,Lista,Indepdentientes,n_votos,perc_votos
Cauquenes,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,230,0.014649682
Cauquenes,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,593,0.037770701
Cauquenes,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,432,0.027515924
Cauquenes,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,722,0.045987261
Cauquenes,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,3216,0.204840764
Cauquenes,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,266,0.016942675
Cauquenes,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,6007,0.382611465
Cauquenes,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,4234,0.269681529
Chanco,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,108,0.027635619
Chanco,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,72,0.018423746
Chanco,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,71,0.018167861
Chanco,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,1717,0.439355169
Chanco,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,321,0.082139202
Chanco,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,105,0.026867963
Chanco,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,617,0.157881269
Chanco,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,897,0.229529171
Colbun,FRENTE AMPLIO,INDEPENDIENTES,Izquierda2,1,58,0.007113946
Colbun,FRENTE AMPLIO,PARTIDO HUMANISTA,Izquierda2,,23,0.002821047
Colbun,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,Izquierda2,,66,0.00809518
Colbun,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,59,0.0072366
Colbun,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,83,0.010180302
Colbun,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO POR LA DEMOCRACIA,Concertacion1,,82,0.010057647
Colbun,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertacion1,,57,0.006991292
Colbun,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,3252,0.398871581
Colbun,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,27,0.003311664
Colbun,UNIDOS POR LA DESCENTRALIZACION,PARTIDO SOCIALISTA DE CHILE,Concertacion2,,183,0.022445725
Colbun,SUMEMOS,INDEPENDIENTES,Derecha1,,37,0.004538207
Colbun,CHILE VAMOS RN - EVOPOLI,EVOLUCION POLITICA,Derecha1,,132,0.016190359
Colbun,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,3473,0.425978168
Colbun,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,105,0.012878695
Colbun,CHILE VAMOS UDI - PRI - INDEPENDIENTES,INDEPENDIENTES,Derecha2,,44,0.005396786
Colbun,CHILE VAMOS UDI - PRI - INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,Derecha2,,27,0.003311664
