NACIONALIDAD,PAIS_NACIMIENTO,SEXO,RANGO_EDAD,REGION,SUFRAGIO,COMUNA
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Colbun
chilena,Chile,femenino,80 o +,Del Maule,no sufragó,Longavi
chilena,Chile,masculino,75-79,Del Maule,no sufragó,Parral
chilena,Chile,femenino,80 o +,Del Maule,no sufragó,Linares
chilena,Chile,masculino,75-79,Del Maule,sufragó,Chanco
chilena,Chile,femenino,80 o +,Del Maule,no sufragó,Cauquenes
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,San Javier
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Linares
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Cauquenes
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Linares
chilena,Chile,femenino,80 o +,Del Maule,no sufragó,Cauquenes
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Parral
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Cauquenes
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Chanco
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,San Javier
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Cauquenes
chilena,Chile,femenino,80 o +,Del Maule,no sufragó,San Javier
chilena,Chile,femenino,80 o +,Del Maule,no sufragó,Linares
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Parral
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Cauquenes
chilena,Chile,femenino,80 o +,Del Maule,no sufragó,San Javier
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Cauquenes
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Parral
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Linares
chilena,Chile,femenino,80 o +,Del Maule,no sufragó,Parral
chilena,Chile,femenino,80 o +,Del Maule,no sufragó,Cauquenes
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,San Javier
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Linares
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Cauquenes
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Retiro
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,San Javier
chilena,Chile,femenino,80 o +,Del Maule,no sufragó,Parral
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Parral
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Linares
chilena,Chile,masculino,80 o +,Del Maule,no sufragó,Parral
