Comuna,Pacto,Partido,Tendencia,Independientes,Candidato,n_votos,perc_votos_comuna
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,PARTIDO DEMOCRATA CRISTIANO,Concertación1,,MARIO ARTURO CACERES QUIROZ,7,0.000417985
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,PARTIDO DEMOCRATA CRISTIANO,Concertación1,,MARIA TERESA MOLINA SANTANA,0,0
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,INDEPENDIENTE,Concertación1,1,ENRIQUE ALBERTO RUIZ QUINTERO,1,5.97122E-05
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,PARTIDO SOCIALISTA DE CHILE,Concertación1,,JUAN SEPULVEDA FUENTES,1,5.97122E-05
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,INDEPENDIENTE,Concertación1,1,ESTHER DEL CARMEN FUENTES VALLEJOS,0,0
PARRAL,PACTO NUEVA MAYORIA PARA CHILE,INDEPENDIENTE,Concertación1,1,ROBERTO CARLO SALAZAR SALAZAR,10,0.000597122
PARRAL,PACTO CON LA FUERZA DEL FUTURO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertación4,,JORGE WASHINGTON PINCHEIRA LEIVA,1,5.97122E-05
PARRAL,PACTO CON LA FUERZA DEL FUTURO,PARTIDO RADICAL SOCIALDEMOCRATA,Concertación4,,JUAN YAÑEZ GUERRERO,1,5.97122E-05
PARRAL,PACTO CON LA FUERZA DEL FUTURO,INDEPENDIENTE,Concertación4,1,JUAN CACERES MENDEZ,3,0.000179137
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,RENOVACION NACIONAL,Derecha1,,JUAN CARLOS BENAVENTE MEZA,19,0.001134532
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,RENOVACION NACIONAL,Derecha1,,JUAN NAVARRO ORMEÑO,2,0.000119424
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,INDEPENDIENTE,Derecha1,,CRISTIAN KLEINSTEIN LOPEZ,0,0
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,INDEPENDIENTE,Derecha1,,PATRICIA LABRA BESSERER,3,0.000179137
PARRAL,PACTO CHILE VAMOS RN E INDEPENDIENTES,INDEPENDIENTE,Derecha1,,WALTERIO LOPEZ RUIZ,0,0
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA,Derecha2,,AMELIA DEL CARMEN OLIVEROS JARA,2,0.000119424
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA,Derecha2,,ALVARO MARTINEZ ALFARO,0,0
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,PEDRO ROCA VASQUEZ,1,5.97122E-05
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,TERESA HERNANDEZ MENA,1,5.97122E-05
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,JOSE ANTONIO VALVERDE VALENZUELA,4,0.000238849
PARRAL,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,Derecha2,,JOSE LUIS MATTAS SANCHEZ,2,0.000119424
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha3,,CLAUDIO BRAVO ARAYA,20,0.001194244
PARRAL,PACTO CHILE VAMOS UDI-INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha3,,OSCAR LEONARDO MUÑOZ RIFFO,14,0.000835971
