COMUNA,Pacto,perc_votos,n_votos
Cauquenes,POR TODO CHILE,0.0524,823
Cauquenes,POR UN CHILE JUSTO Y DESCENTRALIZADO,0.0275,432
Cauquenes,UNIDOS POR LA DESCENTRALIZACION,0.2508,3938
Cauquenes,CHILE VAMOS RN - EVOPOLI,0.3996,6273
Cauquenes,CHILE VAMOS UDI - PRI - INDEPENDIENTES,0.2697,4234
Chanco,POR TODO CHILE,0.0461,180
Chanco,POR UN CHILE JUSTO Y DESCENTRALIZADO,0.0182,71
Chanco,UNIDOS POR LA DESCENTRALIZACION,0.5215,2038
Chanco,CHILE VAMOS RN - EVOPOLI,0.1847,722
Chanco,CHILE VAMOS UDI - PRI - INDEPENDIENTES,0.2295,897
Colbun,FRENTE AMPLIO,0.0180,147
Colbun,POR TODO CHILE,0.0072,59
Colbun,POR UN CHILE JUSTO Y DESCENTRALIZADO,0.0272,222
Colbun,UNIDOS POR LA DESCENTRALIZACION,0.4246,3462
Colbun,SUMEMOS,0.0045,37
Colbun,CHILE VAMOS RN - EVOPOLI,0.4550,3710
Colbun,CHILE VAMOS UDI - PRI - INDEPENDIENTES,0.0633,516
Linares,FRENTE AMPLIO,0.1041,3342
Linares,POR TODO CHILE,0.0393,1262
Linares,POR UN CHILE JUSTO Y DESCENTRALIZADO,0.0862,2766
Linares,UNIDOS POR LA DESCENTRALIZACION,0.3180,10204
Linares,SUMEMOS,0.0141,451
Linares,CHILE VAMOS RN - EVOPOLI,0.1363,4375
Linares,CHILE VAMOS UDI - PRI - INDEPENDIENTES,0.3020,9690
Longavi,FRENTE AMPLIO,0.0439,422
Longavi,POR TODO CHILE,0.0230,221
Longavi,POR UN CHILE JUSTO Y DESCENTRALIZADO,0.3745,3603
Longavi,UNIDOS POR LA DESCENTRALIZACION,0.1009,971
Longavi,SUMEMOS,0.0086,83
Longavi,CHILE VAMOS RN - EVOPOLI,0.2555,2458
Longavi,CHILE VAMOS UDI - PRI - INDEPENDIENTES,0.1936,1863
Parral,FRENTE AMPLIO,0.0406,628
Parral,POR TODO CHILE,0.0124,191
Parral,POR UN CHILE JUSTO Y DESCENTRALIZADO,0.0472,729
Parral,UNIDOS POR LA DESCENTRALIZACION,0.2458,3798
Parral,SUMEMOS,0.0051,79
Parral,CHILE VAMOS RN - EVOPOLI,0.1836,2837
Parral,CHILE VAMOS UDI - PRI - INDEPENDIENTES,0.4652,7187
Pelluhue,POR TODO CHILE,0.0476,158
Pelluhue,POR UN CHILE JUSTO Y DESCENTRALIZADO,0.0362,120
Pelluhue,UNIDOS POR LA DESCENTRALIZACION,0.2537,842
Pelluhue,CHILE VAMOS RN - EVOPOLI,0.3634,1206
Pelluhue,CHILE VAMOS UDI - PRI - INDEPENDIENTES,0.2992,993
Pencahue,FRENTE AMPLIO,0.0435,200
Pencahue,POR TODO CHILE,0.0433,199
Pencahue,POR UN CHILE JUSTO Y DESCENTRALIZADO,0.1668,767
Pencahue,UNIDOS POR LA DESCENTRALIZACION,0.1993,916
Pencahue,SUMEMOS,0.0139,64
Pencahue,CHILE VAMOS RN - EVOPOLI,0.3128,1438
Pencahue,CHILE VAMOS UDI - PRI - INDEPENDIENTES,0.2204,1013
Retiro,FRENTE AMPLIO,0.0306,215
Retiro,POR TODO CHILE,0.0138,97
Retiro,POR UN CHILE JUSTO Y DESCENTRALIZADO,0.0423,297
Retiro,UNIDOS POR LA DESCENTRALIZACION,0.0743,522
Retiro,SUMEMOS,0.0060,42
Retiro,CHILE VAMOS RN - EVOPOLI,0.6901,4846
Retiro,CHILE VAMOS UDI - PRI - INDEPENDIENTES,0.1428,1003
Sagrada Familia,FRENTE AMPLIO,0.0731,486
Sagrada Familia,POR TODO CHILE,0.0468,311
Sagrada Familia,POR UN CHILE JUSTO Y DESCENTRALIZADO,0.1564,1039
Sagrada Familia,UNIDOS POR LA DESCENTRALIZACION,0.2685,1784
Sagrada Familia,CHILE VAMOS RN - EVOPOLI,0.2965,1970
Sagrada Familia,CHILE VAMOS UDI - PRI - INDEPENDIENTES,0.1588,1055
San Javier,FRENTE AMPLIO,0.0757,1099
San Javier,POR TODO CHILE,0.0192,278
San Javier,POR UN CHILE JUSTO Y DESCENTRALIZADO,0.0895,1299
San Javier,UNIDOS POR LA DESCENTRALIZACION,0.1838,2667
San Javier,SUMEMOS,0.0114,165
San Javier,CHILE VAMOS RN - EVOPOLI,0.4853,7043
San Javier,CHILE VAMOS UDI - PRI - INDEPENDIENTES,0.1352,1962
Villa Alegre,FRENTE AMPLIO,0.1192,646
Villa Alegre,POR TODO CHILE,0.0183,99
Villa Alegre,POR UN CHILE JUSTO Y DESCENTRALIZADO,0.1219,661
Villa Alegre,UNIDOS POR LA DESCENTRALIZACION,0.1348,731
Villa Alegre,SUMEMOS,0.0559,303
Villa Alegre,CHILE VAMOS RN - EVOPOLI,0.2166,1174
Villa Alegre,CHILE VAMOS UDI - PRI - INDEPENDIENTES,0.3333,1807
Yerbas Buenas,FRENTE AMPLIO,0.0479,276
Yerbas Buenas,POR TODO CHILE,0.0227,131
Yerbas Buenas,POR UN CHILE JUSTO Y DESCENTRALIZADO,0.1306,753
Yerbas Buenas,UNIDOS POR LA DESCENTRALIZACION,0.2284,1317
Yerbas Buenas,SUMEMOS,0.0125,72
Yerbas Buenas,CHILE VAMOS RN - EVOPOLI,0.3296,1901
Yerbas Buenas,CHILE VAMOS UDI - PRI - INDEPENDIENTES,0.2284,1317
