Comuna,Pacto,Partido,Tendencia,Independientes,Candidato,n_votos,perc_votos_comuna
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,GUILLERMO  GARCIA GONZALEZ,40,0.002547771
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,ALVARO  GREZ MARTINEZ,3,0.000191083
CAUQUENES,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,COCA APABLAZA APABLAZA,10,0.000636943
CAUQUENES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,ABDON MATIAS FUENTEALBA RETAMAL,1,6.36943E-05
CAUQUENES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,DANIEL BUSTOS LEAL,1,6.36943E-05
CAUQUENES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,JUAN ANDRES MUÑOZ SAAVEDRA,57,0.003630573
CAUQUENES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,GINEZ MUÑOZ ECHEVERRIA,3,0.000191083
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JOSE ANIBAL PEREZ MEZA,7,0.00044586
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,MARIA DEL CARMEN PEREZ DONOSO,30,0.001910828
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,GUILLERMO  GARCIA GONZALEZ,35,0.002229299
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,ALVARO  GREZ MARTINEZ,1,6.36943E-05
CAUQUENES,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,COCA APABLAZA APABLAZA,4,0.000254777
CAUQUENES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,ABDON MATIAS FUENTEALBA RETAMAL,1,6.36943E-05
CAUQUENES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,DANIEL BUSTOS LEAL,2,0.000127389
CAUQUENES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,JUAN ANDRES MUÑOZ SAAVEDRA,38,0.002420382
CAUQUENES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,GINEZ MUÑOZ ECHEVERRIA,5,0.000318471
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JOSE ANIBAL PEREZ MEZA,2,0.000127389
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,MARIA DEL CARMEN PEREZ DONOSO,22,0.001401274
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,GUILLERMO  GARCIA GONZALEZ,26,0.001656051
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,ALVARO  GREZ MARTINEZ,1,6.36943E-05
CAUQUENES,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,COCA APABLAZA APABLAZA,8,0.000509554
CAUQUENES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,ABDON MATIAS FUENTEALBA RETAMAL,1,6.36943E-05
CAUQUENES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,DANIEL BUSTOS LEAL,2,0.000127389
CAUQUENES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,JUAN ANDRES MUÑOZ SAAVEDRA,70,0.004458599
CAUQUENES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,GINEZ MUÑOZ ECHEVERRIA,4,0.000254777
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JOSE ANIBAL PEREZ MEZA,13,0.000828025
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,MARIA DEL CARMEN PEREZ DONOSO,33,0.002101911
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,GUILLERMO  GARCIA GONZALEZ,28,0.001783439
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,ALVARO  GREZ MARTINEZ,2,0.000127389
CAUQUENES,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,COCA APABLAZA APABLAZA,6,0.000382166
CAUQUENES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,ABDON MATIAS FUENTEALBA RETAMAL,2,0.000127389
CAUQUENES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,DANIEL BUSTOS LEAL,3,0.000191083
CAUQUENES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,JUAN ANDRES MUÑOZ SAAVEDRA,46,0.002929936
CAUQUENES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,GINEZ MUÑOZ ECHEVERRIA,1,6.36943E-05
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JOSE ANIBAL PEREZ MEZA,5,0.000318471
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,MARIA DEL CARMEN PEREZ DONOSO,22,0.001401274
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,GUILLERMO  GARCIA GONZALEZ,40,0.002547771
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,ALVARO  GREZ MARTINEZ,2,0.000127389
CAUQUENES,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,COCA APABLAZA APABLAZA,5,0.000318471
