COMUNA,Votos_der2017,Votos2017,p_derecha2017
Cauquenes,4500,17222,0.261293694
Chanco,1002,4457,0.224814898
Colbun,677,8626,0.078483654
Constitucion,4234,17939,0.236022075
Curepto,499,4571,0.109166484
Curico,4615,57173,0.08071992
Empedrado,328,2227,0.147283341
Hualañe,214,4729,0.045252696
Licanten,827,3298,0.250758035
Linares,9881,35774,0.276206183
Longavi,3165,10955,0.288909174
Maule,1301,9820,0.132484725
Molina,4521,18598,0.243090655
Parral,7753,17263,0.449110815
Pelarco,730,3820,0.191099476
Pelluhue,1470,3674,0.400108873
Pencahue,985,5322,0.185080797
Rauco,214,4677,0.045755826
Retiro,1199,7769,0.154331317
Rio Claro,495,5446,0.090892398
Romeral,583,6749,0.086383168
Sagrada Familia,909,7795,0.116613214
San Clemente,1723,16643,0.103527008
San Javier,2247,17066,0.131665299
San Rafael,532,4062,0.130969966
Talca,15869,87717,0.18091134
Teno,671,10502,0.063892592
Vichuquen,322,2410,0.133609959
Villa Alegre,1846,6298,0.293108923
Yerbas Buenas,1410,6727,0.209603092
